All Groups/Chats in DB:
ID: 120363423520630681@g.us, Name: Google Lakecity Hackathon community, Messages recorded: No
ID: 120363404342306852@g.us, Name: SPSU Official Community, Messages recorded: No
ID: 120363402665262230@g.us, Name: GeeksforGeeks Campus Body - SPSU, Messages recorded: No
ID: 120363355196252098@g.us, Name: L33tL3g10n, Messages recorded: No
ID: 120363246679102130@g.us, Name: Dango Technology, Messages recorded: No
ID: 120363211762818472@g.us, Name: Faculty Of Computing And Informatic SPSU, Messages recorded: No
ID: 120363316657447022@g.us, Name: Internship+Placement training , Messages recorded: No
ID: 120363376202548952@g.us, Name: ArLink <> BetterIDEa <> Content, Messages recorded: No
ID: 120363401658336499@g.us, Name: Diet , Messages recorded: Yes
ID: 120363402065903345@g.us, Name: Loreal hackathon, Messages recorded: No
ID: 120363168510170610@g.us, Name: FSD project , Messages recorded: No
ID: 120363405584330247@g.us, Name: Travel SAAS, AI News, Messages recorded: No
ID: 120363408230299297@g.us, Name: Amrica ka dalal, Messages recorded: No
ID: 120363421737843912@g.us, Name: Team Nagin 🐍, Messages recorded: No
ID: 120363420930272862@g.us, Name: DevZ, Messages recorded: No
ID: 120363351447518227@g.us, Name: TBE Campus Connect , Messages recorded: No
ID: 120363420645217883@g.us, Name: Core Team, Messages recorded: No
ID: 120363385891709851@g.us, Name: ..., Messages recorded: No
ID: 120363361781682603@g.us, Name: Ujjain Trip , Messages recorded: No
ID: 120363418177346121@g.us, Name: Microsoft Learn Student Ambassadors SPSU, Messages recorded: No
ID: 120363355060788055@g.us, Name: HackWizards, Messages recorded: No
ID: 120363196840731790@g.us, Name: Lets Speak English , Messages recorded: No
ID: 120363183604334508@g.us, Name: Python final project, Messages recorded: No
ID: 120363423779796324@g.us, Name: Raid, Messages recorded: No
ID: 120363419721148937@g.us, Name: Off Mor Boys 7:00 English Batch 23rd May 25, Messages recorded: No
ID: 120363421619898103@g.us, Name: SIH, Messages recorded: No
ID: 120363419673682830@g.us, Name: ..., Messages recorded: No
ID: 120363405997611624@g.us, Name: Mission Alsigarh ~ Failed, Messages recorded: No
ID: 120363420975537876@g.us, Name: Core team - GFG campus matri, Messages recorded: No
ID: 120363305084305141@g.us, Name: BetterIDEa Content, Messages recorded: No
ID: 120363215435168867@g.us, Name: Cheaters 🙂, Messages recorded: No
ID: 120363314900494578@g.us, Name: Code, Messages recorded: No
ID: 120363343071468274@g.us, Name: Day outing , Messages recorded: No
ID: 120363420694908490@g.us, Name: CALL FOR LUNCH 🍱 , Messages recorded: No
ID: 120363360034917273@g.us, Name: Sasti lassan🤸🏻, Messages recorded: No
ID: 120363401284030039@g.us, Name: 2nd Year Sub Team, Messages recorded: No
ID: 120363421722100067@g.us, Name: Bus facility on November 29, 2025., Messages recorded: No
ID: 120363317694096684@g.us, Name: 2nd year FSD - SPSU, Messages recorded: No
ID: 120363425330161292@g.us, Name: Decent Den Voting, Messages recorded: No
ID: 120363403341475052@g.us, Name: Programming club, Messages recorded: No
ID: 120363388655507807@g.us, Name: DBMS Section D , Messages recorded: No
ID: 120363303283195275@g.us, Name: CONTENT MANAGEMENT SYSTEM 3SEM, Messages recorded: No
ID: 120363375241914665@g.us, Name: SilentSnipers, Messages recorded: No
ID: 120363178130734876@g.us, Name: Tech Talk, Messages recorded: No
ID: 120363332757121974@g.us, Name: Section D. Personal , Messages recorded: No
ID: 120363322128013914@g.us, Name: FSD-Sem 6-Sec C-G2, Messages recorded: No
ID: 120363388518577762@g.us, Name: DAA 4th sem Section--D, Messages recorded: No
ID: 120363166159895976@g.us, Name: FSD, Messages recorded: No
ID: 120363334820186504@g.us, Name: Nexus genuine student, Messages recorded: No
ID: 120363399627176894@g.us, Name: Sec C - G2 PERSONAL, Messages recorded: No
ID: 120363311373460400@g.us, Name: CMS SEM 3, Messages recorded: No
ID: 120363422231422407@g.us, Name: Section -C(5th Semester,G2),mentor, Messages recorded: No
ID: 120363152305847595@g.us, Name: Full Stack Development CSE, Messages recorded: No
ID: 120363261840565894@g.us, Name: Dango Technology, Messages recorded: No
ID: 120363419275464189@g.us, Name: Zerodha Varsity Quiz, Messages recorded: No
ID: 120363423224286238@g.us, Name: JS-AI Build-a-thon Season 2, Messages recorded: No
ID: 120363400253944878@g.us, Name: Auraflix Announcements 8, Messages recorded: No
ID: 120363177917816866@g.us, Name: SIH Hackathon , Messages recorded: No
ID: 120363399407992914@g.us, Name: General, Messages recorded: No
ID: 120363407913197081@g.us, Name: Section C- DevOps VI SEM, Messages recorded: No
ID: 120363401895727824@g.us, Name: Operating system c+d, Messages recorded: No
ID: 120363399843771696@g.us, Name: Computer Networks sem 5th, Messages recorded: No
ID: 120363400806711569@g.us, Name: DECODE SELECT GameGen, Messages recorded: No
ID: 120363225864587735@g.us, Name: Blockchain sec- c, Messages recorded: No
ID: 120363418707875700@g.us, Name: JS AI Build-a-thon, Messages recorded: No
ID: 120363315157350262@g.us, Name: Day Scholar Support Squad, Messages recorded: No
ID: 120363405845682681@g.us, Name: SPSU_Btech Group 2_CS_C + ME + MIE + BCA + BDES_5th Feb, Messages recorded: No
ID: 120363411156620589@g.us, Name: Blockchain Orbit - Udaipur, Messages recorded: No
ID: 120363381444942046@g.us, Name: GeeksforGeeks Campus Body - SPSU, Messages recorded: No
ID: 120363423634909555@g.us, Name: SPSU_Group 2_Sem6_Quants_29th Jan, Messages recorded: No
ID: 120363388143474017@g.us, Name: LeetCode Contest Series, Messages recorded: No
ID: 120363421820543074@g.us, Name: Finance Quiz, Messages recorded: No
ID: 120363401416746501@g.us, Name: Microsoft Learn Student Ambassadors SPSU, Messages recorded: No
ID: 120363228101039655@g.us, Name: B. Tech CSE  2023-2027, Messages recorded: No
ID: 120363423177515383@g.us, Name: SPSU CDC 2027, Messages recorded: No
ID: 120363320073942395@g.us, Name: L33tL3g10n - Coding and Programming Club, Messages recorded: No
ID: 120363371409035988@g.us, Name: L33tL3g10n, Messages recorded: No
ID: 120363425911430228@g.us, Name: General, Messages recorded: No
ID: 120363406119993145@g.us, Name: TPO ‘26-27 | Internship, Placement and more, Messages recorded: No
ID: 120363405610281272@g.us, Name: SPSU Official Community, Messages recorded: No
ID: 919214430531-1607070649@g.us, Name: Titanium Education Sunday GD online Group, Messages recorded: No
ID: 120363210865606661@g.us, Name: Faculty Of Computing And Informatic SPSU, Messages recorded: No
ID: 120363405315199119@g.us, Name: Google Lakecity Hackathon 2026 - Registered Participants, Messages recorded: No
ID: 120363422028796751@g.us, Name: Google Lakecity Hackathon community, Messages recorded: No
ID: 120363405866231226@g.us, Name: Test, Messages recorded: Yes
ID: 918890468443@s.whatsapp.net, Name: 918890468443, Messages recorded: Yes
ID: 919667002805@s.whatsapp.net, Name: 919667002805, Messages recorded: No
ID: 919832225840@s.whatsapp.net, Name: 919832225840, Messages recorded: No
ID: 917775883925@s.whatsapp.net, Name: 917775883925, Messages recorded: No
ID: 919166779604@s.whatsapp.net, Name: 919166779604, Messages recorded: No
ID: 214744136962079@lid, Name: 214744136962079, Messages recorded: No
ID: 190138537750615@lid, Name: 190138537750615, Messages recorded: No
ID: 255894671630361@lid, Name: 255894671630361, Messages recorded: No
ID: 917230970642@s.whatsapp.net, Name: 917230970642, Messages recorded: No
ID: 164862739128526@lid, Name: 164862739128526, Messages recorded: Yes
ID: 919358360861@s.whatsapp.net, Name: 919358360861, Messages recorded: No
ID: 919602987566@s.whatsapp.net, Name: 919602987566, Messages recorded: No
ID: 8659190968480@lid, Name: 8659190968480, Messages recorded: No
ID: 31997539946637@lid, Name: 31997539946637, Messages recorded: No
ID: 918733907926@s.whatsapp.net, Name: 918733907926, Messages recorded: No
ID: 257307816554712@lid, Name: 257307816554712, Messages recorded: No
ID: 919982251327@s.whatsapp.net, Name: 919982251327, Messages recorded: No
ID: 273079020323040@lid, Name: 273079020323040, Messages recorded: No
ID: 21509699571932@lid, Name: 21509699571932, Messages recorded: No
ID: 918074362695@s.whatsapp.net, Name: 918074362695, Messages recorded: No
ID: 167641415213166@lid, Name: 167641415213166, Messages recorded: No
ID: 164295971196953@lid, Name: 164295971196953, Messages recorded: No
ID: 167851868590300@lid, Name: 167851868590300, Messages recorded: No
ID: 195279865282778@lid, Name: 195279865282778, Messages recorded: No
ID: 158467482501234@lid, Name: 158467482501234, Messages recorded: No
ID: 919821937148@s.whatsapp.net, Name: 919821937148, Messages recorded: No
ID: 19276031348782@lid, Name: 19276031348782, Messages recorded: No
ID: 919999041935@s.whatsapp.net, Name: 919999041935, Messages recorded: No
ID: 918962812088@s.whatsapp.net, Name: 918962812088, Messages recorded: No
ID: 918296700576@s.whatsapp.net, Name: 918296700576, Messages recorded: No
ID: 0@s.whatsapp.net, Name: WhatsApp, Messages recorded: No
ID: 255649808171045@lid, Name: 255649808171045, Messages recorded: No
ID: 918674856353@s.whatsapp.net, Name: 918674856353, Messages recorded: No
ID: 178374639124598@lid, Name: 178374639124598, Messages recorded: No
